ID;Name;Vorname;Strasse;Ort_Name;Ort_Plz;Telefon;Handy;Email;
3902;yo;hey;;;;;;;
3903;;;;;;;;;
3952;yo;hey;;;;;;;
3953;;;;;;;;;
4002;yo;hey;;;;;;;
4003;;;;;;;;;
4052;yo;hey;;;;;;;
4053;;;;;;;;;
4102;yo;hey;;;;;;;
4103;;;;;;;;;
4152;yo;hey;;;;;;;
4153;;;;;;;;;
4202;yo;hey;;;;;;;
4203;;;;;;;;;
4251;yo;hey;;;;;;;
4252;yo;hey;;;;;;;
4253;yo;hey;;;;;;;
4254;yo;hey;;;;;;;
4255;yo;hey;;;;;;;
4256;yo;hey;;;;;;;
4257;yo;hey;;;;;;;
4258;yo;hey;;;;;;;
4259;yo;hey;;;;;;;
4260;yo;hey;;;;;;;
4261;yo;hey;;;;;;;
4262;yo;hey;;;;;;;
4263;yo;hey;;;;;;;
4264;yo;hey;;;;;;;
4265;yo;hey;;;;;;;
4266;yo;hey;;;;;;;
4267;yo;hey;;;;;;;
4268;yo;hey;;;;;;;
4269;yo;hey;;;;;;;
4270;yo;hey;;;;;;;
4271;yo;hey;;;;;;;
4272;yo;hey;;;;;;;
4273;yo;hey;;;;;;;
4274;yo;hey;;;;;;;
4275;yo;hey;;;;;;;
4276;yo;hey;;;;;;;
4277;yo;hey;;;;;;;
4278;yo;hey;;;;;;;
4279;yo;hey;;;;;;;
4280;yo;hey;;;;;;;
4281;yo;hey;;;;;;;
4282;yo;hey;;;;;;;
4283;yo;hey;;;;;;;
4284;yo;hey;;;;;;;
4285;yo;hey;;;;;;;
4286;yo;hey;;;;;;;
4287;yo;hey;;;;;;;
4288;yo;hey;;;;;;;
4289;yo;hey;;;;;;;
4290;yo;hey;;;;;;;
4291;yo;hey;;;;;;;
4292;yo;hey;;;;;;;
4293;yo;hey;;;;;;;
4294;yo;hey;;;;;;;
4295;yo;hey;;;;;;;
4296;yo;hey;;;;;;;
4297;yo;hey;;;;;;;
4298;yo;hey;;;;;;;
4299;yo;hey;;;;;;;
4300;yo;hey;;;;;;;
4301;yo;hey;;;;;;;
4302;yo;hey;;;;;;;
4303;yo;hey;;;;;;;
4304;yo;hey;;;;;;;
4305;yo;hey;;;;;;;
4306;yo;hey;;;;;;;
4307;yo;hey;;;;;;;
4308;yo;hey;;;;;;;
4309;yo;hey;;;;;;;
4310;yo;hey;;;;;;;
4311;yo;hey;;;;;;;
4312;yo;hey;;;;;;;
4313;yo;hey;;;;;;;
4314;yo;hey;;;;;;;
4315;yo;hey;;;;;;;
4316;yo;hey;;;;;;;
4317;yo;hey;;;;;;;
4318;yo;hey;;;;;;;
4319;yo;hey;;;;;;;
4320;yo;hey;;;;;;;
